Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2023-05-15,Barbell Squat,Legs,75.0,kgs,3,,,,""
2023-05-15,Barbell Squat,Legs,75.0,kgs,3,,,,""
2023-05-15,Barbell Squat,Legs,75.0,kgs,3,,,,""
2023-05-15,Barbell Squat,Legs,75.0,kgs,2,,,,""
2023-05-15,Barbell Front Squat,Legs,52.5,kgs,5,,,,""
2023-05-15,Barbell Front Squat,Legs,52.5,kgs,5,,,,""
2023-05-15,Flat Barbell Bench Press,Chest,40.0,kgs,10,,,,""
2023-05-15,Flat Barbell Bench Press,Chest,40.0,kgs,10,,,,""
2023-05-15,Flat Barbell Bench Press,Chest,40.0,kgs,10,,,,""
2023-05-17,Deadlift,Back,92.5,kgs,5,,,,""
2023-05-17,Deadlift,Back,92.5,kgs,5,,,,""
2023-05-17,Deadlift,Back,92.5,kgs,5,,,,""
2023-05-17,Overhead Press,Shoulders,37.5,kgs,5,,,,""
2023-05-17,Overhead Press,Shoulders,37.5,kgs,5,,,,""
2023-05-17,Overhead Press,Shoulders,37.5,kgs,5,,,,""
2023-06-06,Barbell Front Squat,Legs,62.5,kgs,4,,,,""
2023-06-06,Barbell Front Squat,Legs,62.5,kgs,2,,,,""
2023-06-06,Barbell Front Squat,Legs,62.5,kgs,2,,,,""
2023-06-06,Barbell Front Squat,Legs,62.5,kgs,1,,,,""
2023-06-06,Barbell Front Squat,Legs,62.5,kgs,1,,,,""
2023-06-06,Barbell Front Squat,Legs,62.5,kgs,2,,,,""
2023-06-06,Barbell Front Squat,Legs,62.5,kgs,2,,,,""
2023-06-06,Flat Barbell Bench Press,Chest,50.0,kgs,5,,,,""
2023-06-06,Flat Barbell Bench Press,Chest,50.0,kgs,5,,,,""
2023-06-06,Deadlift,Back,95.0,kgs,3,,,,""
2023-06-15,Overhead Press,Shoulders,37.5,kgs,5,,,,""
2023-06-15,Overhead Press,Shoulders,37.5,kgs,5,,,,""
2023-06-15,Overhead Press,Shoulders,37.5,kgs,5,,,,""
2023-06-15,Neutral Chin Up,Back,0.0,kgs,2,,,,""
2023-06-15,Neutral Chin Up,Back,0.0,kgs,2,,,,""
2023-06-15,Neutral Chin Up,Back,0.0,kgs,2,,,,""
2023-06-19,Barbell Front Squat,Legs,65.0,kgs,3,,,,""
2023-06-19,Barbell Front Squat,Legs,65.0,kgs,3,,,,""
2023-06-19,Barbell Front Squat,Legs,65.0,kgs,3,,,,""
2023-06-19,Barbell Front Squat,Legs,65.0,kgs,3,,,,""
2023-06-19,Barbell Front Squat,Legs,65.0,kgs,3,,,,""
2023-06-19,Flat Barbell Bench Press,Chest,45.0,kgs,5,,,,""
2023-06-19,Flat Barbell Bench Press,Chest,45.0,kgs,5,,,,""
2023-06-19,Flat Barbell Bench Press,Chest,45.0,kgs,11,,,,""
2023-06-19,Deadlift,Back,75.0,kgs,5,,,,""
2023-06-24,Barbell Front Squat,Legs,65.0,kgs,3,,,,""
2023-06-24,Barbell Front Squat,Legs,65.0,kgs,2,,,,""
2023-06-24,Barbell Front Squat,Legs,65.0,kgs,2,,,,""
2023-06-24,Barbell Front Squat,Legs,65.0,kgs,2,,,,""
2023-06-24,Barbell Front Squat,Legs,65.0,kgs,2,,,,""
2023-06-24,Barbell Front Squat,Legs,65.0,kgs,2,,,,""
2023-06-24,Overhead Press,Shoulders,40.0,kgs,5,,,,""
2023-06-24,Overhead Press,Shoulders,40.0,kgs,5,,,,""
2023-06-24,Overhead Press,Shoulders,40.0,kgs,4,,,,""
2023-06-26,Barbell Squat,Legs,67.5,kgs,5,,,,""
2023-06-26,Barbell Squat,Legs,67.5,kgs,5,,,,""
2023-06-26,Barbell Squat,Legs,67.5,kgs,5,,,,""
2023-06-26,Barbell Squat,Legs,67.5,kgs,5,,,,""
2023-06-26,Barbell Squat,Legs,67.5,kgs,5,,,,""
2023-06-26,Flat Barbell Bench Press,Chest,47.5,kgs,5,,,,""
2023-06-26,Flat Barbell Bench Press,Chest,47.5,kgs,5,,,,""
2023-06-26,Flat Barbell Bench Press,Chest,47.5,kgs,8,,,,""
2023-06-26,Deadlift,Back,82.5,kgs,3,,,,""
2023-06-26,Deadlift,Back,72.5,kgs,5,,,,"Snatch Grip"
2023-06-26,Deadlift,Back,72.5,kgs,5,,,,"Snatch Grip"
2023-06-28,Barbell Front Squat,Legs,65.0,kgs,5,,,,""
2023-06-28,Barbell Front Squat,Legs,65.0,kgs,5,,,,""
